Licensee, DBA, Address, Type, License category, Manager
JAMES S. VARELLAS, PIZZA HOUSE, 26 HOOSAC ST  ADAMS  MA 10220, Restaurant, Wine and Malt, 
THE FIREHOUSE CAFE  INC., THE FIREHOUSE CAFE, 47  PARK STREET  ADAMS  MA 01220, Restaurant, All Alcohol, NOCHER  JASON H.
ADAMS TURNERS  INC, DBA, 6 TURNERS AVE  ADAMS  MA 01220, Club, All Alcohol, SOLOMON  JAMES
TAWJRW INC., WO JO'S, 27 SPRING STREET  ADAMS  MA 01220, General on Premise, All Alcohol, WOJCIK  TRACEY A.
BASCOM LODGE GROUP LLC, DBA, 1 SUMMIT RD  ADAMS  MA 01220, Restaurant, Wine and Malt, DUDEK  JOHN P
RESTAURANT GROUP L'UVA LLC, THE FEDERAL, 135 COOPER ST  AGAWAM  MA 01001, Restaurant, All Alcohol, SANTANIELLO  RAFFAELE L.
ITALIAN SPORTING CLUB, DBA, 349 COOPER ST  AGAWAM  MA 01001, Club, All Alcohol, PALAZZI  ALDO
PANANAS REALTY  INC., PANANAS BAR & GRILLE, 916 SUFFIELD STREET  AGAWAM  MA 01001, Restaurant, All Alcohol, PANANAS  VASILIS
WEST SPRINGFIELD FISH & GAME CLUB INC., DBA, 329 GARDEN ST  AGAWAM  MA 01030, Club, All Alcohol, CAMPBELL  JANET M.
DKJ CORP, THE HEADQUARTERS, 485 SPRINGFIELD ST  AGAWAM  MA 01001, Restaurant, All Alcohol, HERRING  JOSEPH E. JR.
SCOREBOARD BAR & RESTAURANT  INC, DBA, 15 KING ST  AGAWAM  MA 01001, Restaurant, All Alcohol, DELANEY  MICHAEL M
VALENTI'S RESTAURANT INC., DBA, 1 Cooper St  AGAWAM  MA 01001, Restaurant, All Alcohol, VALENTI  JOSEPH D.
RIVERSIDE PARK ENTERPRISES  INC, SIX FLAGS NEW ENGLAND, 1477 MAIN ST.  AGAWAM  MA 01001, Restaurant, Wine and Malt, LAING  LISA
RIVERSIDE PARK ENTERPRISES  INC., SIX FLAGS NEW ENGLAND, 1623 MAIN STREET  AGAWAM  MA 01001, Restaurant, All Alcohol, LAING  LISA-
V M ENTERPRISES INC., T.J. SPORT HOUSE, 1664 MAIN STREET  AGAWAM  MA 01001, Restaurant, All Alcohol, VEILLEUX  DAVID
BUC INC., BUCCANEER LOUNGE, 084-86 MAPLE ST.  AGAWAM  MA 01330, Restaurant, All Alcohol, FILA  MICHAEL C.
SABRE ENTERTAINMENT  LLC, BOURBON PARK, 360 N WESTFIELD ST  AGAWAM  MA 01001, Restaurant, All Alcohol, FARNUM  ROBERT
AGAWAM ALEXANDER'S INC., ALEXANDER'S, 60 NO. WESTFIELD ST  AGAWAM  MA 01030, Commercial Club, All Alcohol, EGGLESTON  KENNETH  SR.
NANGIA  INC, THE GARDEN, 1422 MAIN ST  AGAWAM  MA 01001, Restaurant, Wine and Malt, RAYONIA  RENU
M.REILLY FOOD  CORP., MICHAEL'S PASTA IN THE PAN, 395 RIVER RD  AGAWAM  MA 01001, Restaurant, All Alcohol, B'SHARA  MICHAEL
QUEST INC.  THE, MICHAEL ANTHONY'S, 1251 RIVER RD  AGAWAM  MA 01001, Restaurant, All Alcohol, CRAIG  ANTHONY M.
CHEZ JOSEF INC, DBA, 176 SHOEMAKER LANE  AGAWAM  MA 01001, Restaurant, All Alcohol, SKOLE  LINDA
CRESTVIEW COUNTRY CLUB INC, DBA, 281 SHOEMAKER LANE  AGAWAM  MA 01001, Club, All Alcohol, CARDAROPOLI  JAMES
ST. ANNE COUNTRY CLUB  INC, ST. ANNE COUNTRY CLUB, 781 SHOEMAKER LANE  AGAWAM  MA 01030, Restaurant, All Alcohol, NAPOLITAN  THOMAS
THE MAIN ST. STILL INC., THE STILL, 858 SUFFIELD STREET  AGAWAM  MA 01001, Restaurant, All Alcohol, MASLER REBECCA
OAK RIDGE GOLF CLUB INC, DBA, 850 SO.WESTFIELD ST.  AGAWAM  MA 01030, Restaurant, All Alcohol, STRYCHARZ  ANTHONY P. JR
F.S.F.   INC., RIVERBOAT BAR & GRILL, 11 SOUTH END BRIDGE CIRCLE  AGAWAM  MA 01001, Restaurant, All Alcohol, FUSCO  ALICE D.
TOWN OF AGAWAM, DBA, 128 SOUTHWICK ST  AGAWAM  MA 01030, Restaurant, All Alcohol, DUNN  RONALD D
